Loan ID,Status,Year,Country,Borrower,Lender,Finance Type,USD (M),Interest Rate,Libor Rate,Grace Period,Term,Purpose,Sector,Contractor,Resource Security,Narratives
"AO.003.14","Completed",2005,"Angola","Government","Eximbank","FA-sub",7,,"Libor + 1.5",5,"17","Dondo and Ndalatando; Kwanza-Norte; 2 Health Care Centers ","Health","China-Africa Machinery Corporation (CAMACO)","Oil Exports",
"AO.003.15","Completed",2005,"Angola","Government","Eximbank","FA-sub",8,,"Libor + 1.5",5,"17","Namibe; Municipal Hospital of Namibe ","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.16","Completed",2004,"Angola","Government","Eximbank","FA-sub",20,,"Libor + 1.5",5,"17","Agricultural Equipment; Machinery and Tools Purchase ","Agriculture","Angola Ministry of Agriculture and Rural Development (MINADER); China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.17","Completed",2005,"Angola","Government","Eximbank","FA-sub",29,,"Libor + 1.5",5,"17","Agricultural Equipment for MECANAGRO Purchase","Agriculture",,"Oil Exports",
"AO.003.18","Completed",2005,"Angola","Government","Eximbank","FA-sub",86,,"Libor + 1.5",5,"17","Luena; Caxito; Gangelas; Waco-Kungo Irrigation Projects; Phase I ","Agriculture","Sinohydro Ltd.","Oil Exports",
"AO.003.19","Completed",2005,"Angola","Government","Eximbank","FA-sub",13,,"Libor + 1.5",5,"17","Quifangondo-Mabubas Transmission Line; 60Kv  ","Power","China Machine-Building International Corporation (CMIC)","Oil Exports",
"AO.003.20","Completed",2005,"Angola","Government","Eximbank","FA-sub",25,,"Libor + 1.5",5,"17","Capanda-Lucala-Ndalatando Transmission Line; 220kV ","Power","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.21","Completed",2004,"Angola","Government","Eximbank","FA-sub",40,,"Libor + 1.5",5,"17","Luanda Electrical Network Rehabilitation and Expansion; Phase II ","Power","China Machine-Building International Corporation (CMIC)","Oil Exports",
"AO.003.22","Completed",2005,"Angola","Government","Eximbank","FA-sub",35,,"Libor + 1.5",5,"17","Cambambe-Luanda Transmission Line; 220kV","Power","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.23","Completed",2005,"Angola","Government","Eximbank","FA-sub",27,,"Libor + 1.5",5,"17","Luanda-Sul Substation; 220kV","Power","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.24","Completed",2005,"Angola","Government","Eximbank","FA-sub",40,,"Libor + 1.5",5,"17","Luanda's Water Supply System","Water","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.25","Completed",2005,"Angola","Government","Eximbank","FA-sub",20,,"Libor + 1.5",5,"17","Huambo's Water Supply System","Water","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.26","Completed",2005,"Angola","Government","Eximbank","FA-sub",19,,"Libor + 1.5",5,"17","Caxito; Catete and Uíge's Water Supply System","Water","China National Electronics Import and Export Corporation (CEIEC)","Oil Exports",
"AO.003.27","Completed",2004,"Angola","Government","Eximbank","FA-sub",12,,"Libor + 1.5",5,"17","Road Transport Support","Transport",,"Oil Exports",
"AO.003.28","Completed",2005,"Angola","Government","Eximbank","FA-sub",26,,"Libor + 1.5",5,"17","Hospital of Malange","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.29","Completed",2005,"Angola","Government","Eximbank","FA-sub",36,,"Libor + 1.5",5,"17","Hospital of Benguela","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.30","Completed",2005,"Angola","Government","Eximbank","FA-sub",43,,"Libor + 1.5",5,"17","Regional Hospital of Lubango","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.31","Completed",2005,"Angola","Government","Eximbank","FA-sub",29,,"Libor + 1.5",5,"17","Central Hospital of Huambo","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.32","Completed",2005,"Angola","Government","Eximbank","FA-sub",39,,"Libor + 1.5",5,"17","Huambo; Huíla and Benguela; 3 Municipal Hospitals; Benguela; 2 Health Care Centers; Huíla; 2 Health Care Centers ","Health","Sinohydro Ltd.","Oil Exports",
"AO.003.33","Implementation",2006,"Angola","Government","Eximbank","FA-sub",62,,"Libor + 1.5",5,"17","HBO (2) and HLA (2); 4 Secondary Schools; HBO; HLA and Bié; 3 Institutes of Technology; HBO; Bié; K. Kubango and Cunene; 4 Institutes of Business Administration","Education","Sinohydro Ltd.","Oil Exports",
"AO.003.34","Implementation",2006,"Angola","Government","Eximbank","FA-sub",84,,"Libor + 1.5",5,"17","Luanda; Bengo; Cabinda and Namibe; 4 Institutes of Technology; Luanda (2); Benguela (1); Zaire (1); and Namibe (1); 5 Institutes of Business Administration; Luanda (2); Benguela (2) and Namibe (2) 6 Secondary Schools","Education","China National Machinery Industry Corporation (Sinomach)","Oil Exports",
"AO.003.35","Implementation",2006,"Angola","Government","Eximbank","FA-sub",61,,"Libor + 1.5",5,"17","Lunda Sul; Lunda Norte and Uíge; 3 Institutes of Technology; Uíge; 1 Agrarian Institute; Uíge and Moxico; 2 Institutes of Business Administration; Uíge; 1 Secondary School","Education","Sinohydro Ltd.","Oil Exports",
"AO.003.36","Completed",2005,"Angola","Government","Eximbank","FA-sub",60,,"Libor + 1.5",5,"17","TPA Production Center in Camama Construction and Equipping","ICT","Gansu Jiantou Construction Co.; Ltd.; China Gansu International Corporation for Economic and Technical Cooperation (CGICOP)","Oil Exports",
"AO.003.37","Completed",2005,"Angola","Government","Eximbank","FA-sub",191,,"Libor + 1.5",5,"17","Kifangondo-Caxito-Uíge-Negage Road; 371 km ","Transport","China Road and Bridge Corporation (CRBC)","Oil Exports","NARRATIVE: In 2005; the government of Angola signed a US$191M loan agreement with China Eximbank to fund the rehabilitation of the Kifangondo-Caxito-Uíge-Negage Road. The project was contracted to China Road and Bridge Corporation (CRBC). Construction began in 2005 and concluded in 2008.

The Kifangondo-Caxito-Uíge-Negage road loan is part of an oil-backed credit line for infrastructure
construction and rehabilitation that Angola signed with Eximbank on March 2; 2004 (1) (2). The 2004 credit line is an “Oil Prepayment Facility” structured as a framework agreement under which individual loan agreements (ILAs) are entered into (3). Sonangol; Angola’s parastatal oil company; is the guarantor of the facility; and repayment is made with proceeds of oil sales from Sonangol to UNIPEC (China International United Petroleum & Chemicals Co.); which are deposited in an escrow account with Eximbank (4). By December 31; 2017; Angola had drawn the maximum of US$2B allowed under this arrangement (3). According to the agreement; loans under the 2004 facility carry a 5-year grace period; a 17-year repayment period; and an interest rate equal to the floating LIBOR rate plus 1.5% (4).

On February 28; 2005; Angola and CRBC signed the US$211;684;100.65 contract for the Kifangondo-Caxito-Uíge-Negage road project (5); with US$190;515;690.59 (90%) financed by the Eximbank credit line (2). Construction officially began on December 13; 2005 and was projected to finish by August 30; 2008 after a period of 30 months (5). The project involved rehabilitating 371 km of road; from Kifangondo to Negage; and rebuilding twelve bridges (6).

(1) Angola Ministry of Finance: https://web.archive.org/web/20140904040354/https://www.minfin.gov.ao/docs/dspProjGov.htm
(2) Angola Ministry of Finance: https://web.archive.org/web/20081113212550/http://www.minfin.gv.ao/fsys/China-Anexos_relatorio_II_trim_2008_2.pdf
(3) Angola Ministry of Finance: http://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mte0/~edisp/minfin1114312.pdf
(4) Ana Cristina Alves; “The Oil Factor in Sino-Angolan Relations at the Start of the 21st Century;” South African Institute of International Affairs: https://www.voltairenet.org/IMG/pdf/Sino-Angolan_Relations.pdf
(5) Angola Ministry of Finance: https://web.archive.org/web/20081113212834/http://www.minfin.gv.ao/fsys/China-Relatorio_do_II_trim_2008SitedoMINFIN2.pdf
(6) GAUFF Engineering: https://web.archive.org/web/20170828101025/http://www.gauff.net/en/references/angola/kifangondo-negage.html
"
"AO.003.38","Completed",2005,"Angola","Government","Eximbank","FA-sub",44,,"Libor + 1.5",5,"17","Neto University Campus Completion of the Buildings","Education","China Jiangsu International Economic and Technical Cooperation Group; Ltd. (CJI)","Oil Exports",
"AO.003.39","Completed",2005,"Angola","Government","Eximbank","FA-sub",37,,"Libor + 1.5",5,"17","Luanda Palace of Justice Courthouse","Government","China Jiangsu International Economic and Technical Cooperation Group; Ltd. (CJI)","Oil Exports",
"AO.003.40","Completed",2006,"Angola","Government","Eximbank","FA-sub",88,,"Libor + 1.5",5,"17","30m Boats - 25 Units; 4.15m Canoes - 1000 Units","Agriculture","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.41","Implementation",2006,"Angola","Government","Eximbank","FA-sub",88,,"Libor + 1.5",5,"17","46.9m Patrol Boats - 5 Units; 33.88m Shrimp Boats - 10 Units; Canoes - 2000 Units","Agriculture","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.42","Implementation",2006,"Angola","Government","Eximbank","FA-sub",64,,"Libor + 1.5",5,"17","33.56m Fishing Boats - 10 Units; 49m Speed Boat - 1 Unit; 89.86m "Navo-Porão" - 1 Unit ; 29.7m Patrol Boats - 5 units ; and 34m Tugboat - 1 Unit","Agriculture","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.43","Completed",2007,"Angola","Government","Eximbank","FA-sub",49,,"Libor + 1.5",5,"17","Irrigation Projects (Caxito; Gandgelas; Luena; and Waco-Kungo); Phase II","Agriculture","Sinohydro Ltd.","Oil Exports",
"AO.003.44","Completed",2006,"Angola","Government","Eximbank","FA-sub",67,,"Libor + 1.5",5,"17","Bengo; Bié; K.Norte; K.Sul; LDA; Malange; and Moxico;  New Generation Network; Project 1","ICT","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.45","Completed",2006,"Angola","Government","Eximbank","FA-sub",61,,"Libor + 1.5",5,"17","Benguela; K.Norte; Cunene; Huambo; Uíge; and Zaire; New Generation Network; Project 2 ","ICT","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.46","Completed",2006,"Angola","Government","Eximbank","FA-sub",68,,"Libor + 1.5",5,"17","Bié; HBO; HLA; LDA; New Generation Network; Project 3","ICT","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.47","Completed",2006,"Angola","Government","Eximbank","FA-sub",53,,"Libor + 1.5",5,"17","Bié; HBO; HLA; and LDA; New Generation Network; Project 4 ","ICT","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.48","Completed",2008,"Angola","Government","Eximbank","FA-sub",26,,"Libor + 1.5",5,"17","Luanda MT and BT Networks; Phase 3","Power","China Machinery Engineering Corporation (CMEC)","Oil Exports",
"AO.003.49","Completed",2008,"Angola","Government","Eximbank","FA-sub",27,,"Libor + 1.5",5,"17","Malange MT and BT Networks; Phase 2","Power",,"Oil Exports",
"AO.003.50","Completed",2008,"Angola","Government","Eximbank","FA-sub",46,,"Libor + 1.5",5,"17","Lundas Sul and Norte; Dundo; and Saurimo; MT and BT Networks ","Power",,"Oil Exports",
"AO.003.51","Completed",2008,"Angola","Government","Eximbank","FA-sub",32,,"Libor + 1.5",5,"17","Lundas Sul and Norte; Dundo and Saurimo Water Systems ","Water",,"Oil Exports",
"AO.004","Signed",2005,"Angola","Government","CIDCA","ZIL",6,"0",,,,"Unknown ("Technical Projects")","Unallocated",,,
"AO.005.02","Implementation",2007,"Angola","Government","Eximbank","FA-sub",50,,"Libor + 1.25",5,"15","Benguela; Huambo and Bié MT and BT Networks; Part 1 - Huambo","Power",,"Oil Exports",
"AO.005.03","Completed",2008,"Angola","Government","Eximbank","FA-sub",130,,"Libor + 1.25",5,"15","Luanda MT and BT Networks; Phase 4","Power","China Machinery Engineering Corporation (CMEC)","Oil Exports","NARRATIVE: In 2008; the government of Angola signed a US$130M loan agreement with China Eximbank to fund construction of the fourth phase of an urban power grid expansion project in Luanda. This project was contracted to China Machinery Engineering Corporation (CMEC). Construction began in 2008 and concluded in 2014.

The Phase 4 Luanda power grid loan is part of an oil-backed credit line that Angola signed with Eximbank on September 28; 2007 (1). The 2007 credit line is structured as a framework agreement under which individual loan agreements (ILAs) are entered into; each ILA may finance up to 90% of a project’s contract (1). Sonangol; Angola’s parastatal oil company; is the guarantor of the facility; and repayment is made with proceeds from Sonangol’s oil sales to China International United Petroleum & Chemicals Co. (UNIPEC); which are deposited in an escrow account with Eximbank (2). Loans under the 2007 facility carry a 5-year grace period; 15-year repayment period; and an interest rate equal to the floating LIBOR rate plus 1.25% (2) (3). By December 31; 2017; Angola had drawn down the maximum of US$2B allowed under this arrangement (1).

In October 2008; CMEC and the Luanda Electricity Company (EDEL) signed the US$143;865;890 contract for Phase 4 of the Luanda power grid expansion (4) (5). CMEC committed to build several 60kv substations and restored 15kv existing urban power grids (4). One of the substations was completed and went into operation in October 2012 (6). Phase 4 was officially completed in 2014 (7).

(1) http://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mte0/~edisp/minfin1114312.pdf
(2) https://www.voltairenet.org/IMG/pdf/Sino-Angolan_Relations.pdf
(3) https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html
(4) http://www.comtrans.com.cn/project/project_show_cont175_2.html
(5) https://web.archive.org/web/20081113094003/http://www.minfin.gv.ao/fsys/III_08fase.pdf
(6) http://www.cmec.com/s/news_project_details.php?id=136482 (bad link)
— PDF: https://livejohnshopkins-my.sharepoint.com/:b:/g/personal/kacker2_jh_edu/EbyfhOXQGI1Oli_RHhGeD3kBpctXFCB5gmsjzm9It8T0HA?e=Lwi5YT
(7) http://www.cmec.com/xwzx/mtbd/201501/t20150129_129519.html"
"AO.005.06","Signed",2007,"Angola","Government","Eximbank","FA-sub",23,,"Libor + 1.25",5,"15","Lubando MT and BT Networks; Phase 2","Power",,"Oil Exports",
"AO.005.07","Implementation",2007,"Angola","Government","Eximbank","FA-sub",83,,"Libor + 1.25",5,"15","Luanda's Water Supply System; Package 4","Water",,"Oil Exports",
"AO.005.08","Signed",2007,"Angola","Government","Eximbank","FA-sub",20,,"Libor + 1.25",5,"15","Agricultural Equipment Purchase","Agriculture","Zhongxing Telecommunication Equipment Corporation (ZTE)","Oil Exports",
"AO.005.09","Completed",2007,"Angola","Government","Eximbank","FA-sub",429,,"Libor + 1.25",5,"15","Caxito-Nzeto Road Rehabilitation; 208km (Disbursements from 2007 Credit Line)","Transport","China Road and Bridge Corporation (CRBC); China Communications Construction Company; Ltd. (CCCC); Dongmeng Yingzao Engineering Co.; Ltd.","Oil Exports","NARRATIVE: In 2007; the government of Angola signed a US$430M loan agreement with China Eximbank to fund the rehabilitation of the Caxito-N’zeto road. This project was contracted to China Road and Bridge Corporation (CRBC); China Communications Construction Company (CCCC); and Dongmeng Yingzao Engineering Corporation. Construction began in 2011 and concluded in 2014.

The Caxito-Nzeto road loan is part of an oil-backed credit line that Angola signed with Eximbank on September 28; 2007 (1) (2). The 2007 credit line is structured as a framework agreement under which individual loan agreements (ILAs) are entered into; each ILA may finance up to 90% of a project’s contract (1). Sonangol; Angola’s parastatal oil company; is the guarantor of the facility; and repayment is made with proceeds from Sonangol’s oil sales to China International United Petroleum & Chemicals Co. (UNIPEC); which are deposited in an account with Eximbank (3). Loans under the 2007 facility carry a 5-year grace period; 15-year repayment period; and an interest rate equal to the floating LIBOR rate plus 1.25% (3) (4). By December 31; 2017; Angola had drawn down the maximum of US$2B allowed under this arrangement (1).

On May 17; 2007; the CCCC vice president and CRBC president signed a commercial contract for two projects; including Caxito-Nzeto road rehabilitation; with the government-run Angola Road Institute (IENA) (2). The total value of the Caxito-Nzeto contract; funded at 90% through the Eximbank credit line (2) (5); was US$477;456;579 (6). CRBC; CCCC; and Dongmeng Yingzao began construction on the project; which involved rehabilitating 208 km of road; in 2011; and completed it in August 2014 (5) (7).

(1) http://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mte0/~edisp/minfin1114312.pdf
(2) http://www.sasac.gov.cn/n86114/n326638/c731578/content.html (bad link)
— PDF: https://livejohnshopkins-my.sharepoint.com/:b:/g/personal/kacker2_jh_edu/EXkzY-Q4x7tNuGv9kiOxfOsBLZWTyMh5mOJow8aTQCUFTQ?e=Kv5n3y
(3) https://www.voltairenet.org/IMG/pdf/Sino-Angolan_Relations.pdf
(4) https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html
(5) http://www.ccruitong.com/bwly/hwxm/17775.htm (bad link)
— PDF: https://livejohnshopkins-my.sharepoint.com/:b:/g/personal/kacker2_jh_edu/EXM60ozQQ8JPgbV76nGaAEMBZ_jF1GV2gbArsbM-RPCvbg?e=oYHNIg
(6) https://web.archive.org/web/20081113094003/http://www.minfin.gv.ao/fsys/III_08fase.pdf
(7) https://web.archive.org/web/20170306103751/http://www.crbcint.com/hwgc/productId=50.html
"
"AO.005.10","Completed",2007,"Angola","Government","Eximbank","FA-sub",144,,"Libor + 1.25",5,"15","Nzeto-Tomboco-Mbanza Congo Road Rehabilitation; 214km ","Transport","China Road and Bridge Corporation (CRBC)","Oil Exports","NARRATIVE: In 2007; the government of Angola signed a US$144M loan agreement with China Eximbank to fund the rehabilitation of the N’zeto-Tomboco-Mbanza road. This project was contracted to China Road and Bridge Corporation (CRBC). Construction concluded in 2014.

The N’zeto-Tomboco-Mbanza road loan is part of an oil-backed credit line that Angola signed with Eximbank on September 28; 2007 (1) (2). The 2007 credit line is structured as a framework agreement under which individual loan agreements (ILAs) are entered into; each ILA may finance up to 90% of a project’s contract (1). Sonangol; Angola’s parastatal oil company; is the guarantor of the facility; and repayment is made with proceeds from Sonangol’s oil sales to China International United Petroleum & Chemicals Co. (UNIPEC); which are deposited in an account with Eximbank (3). Loans under the 2007 facility carry a 5-year grace period; 15-year repayment period; and an interest rate equal to the floating LIBOR rate plus 1.25% (3) (4). By December 31; 2017; Angola had drawn down the maximum of US$2B allowed under this arrangement (1).

On May 17; 2007; the CCCC vice president and CRBC president signed commercial contracts for two projects; including the N’zeto-Tomboco-Mbanza road project; with the government-run Angola Road Institute (IENA) (2). The total value of the N’zeto-Tomboco-Mbanza contract; funded at 90% through the Eximbank credit line (2); was US$160M (5). CRBC had completed rehabilitation of the road by late 2014 (6).

(1) http://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mte0/~edisp/minfin1114312.pdf
(2) http://www.sasac.gov.cn/n86114/n326638/c731578/content.html (bad link)
— PDF: https://livejohnshopkins-my.sharepoint.com/:b:/g/personal/kacker2_jh_edu/EXkzY-Q4x7tNuGv9kiOxfOsBLZWTyMh5mOJow8aTQCUFTQ?e=Kv5n3y
(3) https://www.voltairenet.org/IMG/pdf/Sino-Angolan_Relations.pdf
(4) https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html
(5) https://web.archive.org/web/20081113094003/http://www.minfin.gv.ao/fsys/III_08fase.pdf
(6) https://finance.huanqiu.com/article/9CaKrnJJq6u
"
"AO.005.13","Completed",2007,"Angola","Government","Eximbank","FA-sub",73,,"Libor + 1.25",5,"15","Cabinda's Integrated Infrastructure; Phase I","Multisector",,"Oil Exports",
"AO.005.14","Completed",2007,"Angola","Government","Eximbank","FA-sub",102,,"Libor + 1.25",5,"15","Zaire's Integrated Infrastructure Phase I","Multisector",,"Oil Exports","NARRATIVE: In 2007; the government of Angola signed a US$102M loan agreement with China Eximbank to fund the first phase of an integrated infrastructure project in Zaire Province.

The Zaire Integrated Infrastructure Phase I loan is part of an oil-backed credit line that Angola signed with Eximbank on September 28; 2007 (1) (2). The 2007 credit line is structured as a framework agreement under which individual loan agreements (ILAs) are entered into; each ILA may finance up to 90% of a project’s contract (1). Sonangol; Angola’s parastatal oil company; is the guarantor of the facility; and repayment is made with proceeds from Sonangol’s oil sales to China International United Petroleum & Chemicals Co. (UNIPEC); which are deposited in an account with Eximbank (3). Loans under the 2007 facility carry a 5-year grace period; 15-year repayment period; and an interest rate equal to the floating LIBOR rate plus 1.25% (3) (4). By December 31; 2017; Angola had drawn down the maximum of US$2B allowed under this arrangement (1).

Sometime in 2007-2008; Angola signed the loan agreement with Eximbank to finance 90% of a US$113;151;577.50 contract for Phase I of this project (2). In 2008; China’s Ministry of Commerce provided Angolan authorities with a list of companies from which to choose the final contractor (2). The total contract value of all phases of the Zaire infrastructure project was said to be US$400M. Available information on the identity of the contractor or implementation progress of Phase I is limited.

(1) http://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mte0/~edisp/minfin1114312.pdf
(2) https://web.archive.org/web/20081113094003/http://www.minfin.gv.ao/fsys/III_08fase.pdf
(3) https://www.voltairenet.org/IMG/pdf/Sino-Angolan_Relations.pdf
(4) https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html
"
"AO.005.15","Completed",2007,"Angola","Government","Eximbank","FA-sub",84,,"Libor + 1.25",5,"15","Malange's Integrated Infrastructure; Phase I","Multisector",,"Oil Exports",
"AO.005.16","Completed",2007,"Angola","Government","Eximbank","FA-sub",57,,"Libor + 1.25",5,"15","Cars Purchase - 1500 Units; Phase II","Transport",,"Oil Exports",
"AO.005.17","Completed",2007,"Angola","Government","Eximbank","FA-sub",62,,"Libor + 1.25",5,"15","Railroad Equipment Purchase","Transport",,"Oil Exports",
"AO.005.18","Completed",2007,"Angola","Government","Eximbank","FA-sub",396,,"Libor + 1.25",5,"15","Luanda; Benguela; Huambo; Uíge; Malange Urban Public Transportation Vehicles Purchase - 5;500 Units","Transport",,"Oil Exports","NARRATIVE: In 2007; the government of Angola signed a US$396M loan agreement with China Eximbank to fund the purchase of 5;500 urban public transit vehicles for the cities of Luanda; Benguela; Huambo; Uíge; and Malange.

The public transit loan is part of an oil-backed credit line that Angola signed with Eximbank on September 28; 2007 (1) (2). The 2007 credit line is structured as a framework agreement under which individual loan agreements (ILAs) are entered into; each ILA may finance up to 90% of a project’s contract (1). Sonangol; Angola’s parastatal oil company; is the guarantor of the facility; and repayment is made with proceeds from Sonangol’s oil sales to China International United Petroleum & Chemicals Co. (UNIPEC); which are deposited in an account with Eximbank (3). Loans under the 2007 facility carry a 5-year grace period; 15-year repayment period; and an interest rate equal to the floating LIBOR rate plus 1.25% (3) (4). By December 31; 2017; Angola had drawn down the maximum of US$2B allowed under this arrangement (1).

The contract for the transit vehicles is worth US$440M; with 90% financed by the 2007 credit line (2). At least three different Chinese bus manufacturers were involved in exporting buses to Angola at this time: Yaxing Bus Co. (5); King Long (6); and Higer Bus (7).

(1) Angola Ministry of Finance: http://www.ucm.minfin.gov.ao/cs/groups/public/documents/document/aw4x/mte0/~edisp/minfin1114312.pdf
(2) Angola Ministry of Finance: https://web.archive.org/web/20081113094003/http://www.minfin.gv.ao/fsys/III_08fase.pdf
(3) Ana Cristina Alves; “The Oil Factor in Sino-Angolan Relations at the Start of the 21st Century;” South African Institute of International Affairs: https://www.voltairenet.org/IMG/pdf/Sino-Angolan_Relations.pdf
(4) Institute of Developing Economies; Japan External Trade Organization (IDE-JETRO): https://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html
(5) ChinaBuses.com: https://www.chinabuses.com/2007/05/16001.htm
(6) ChinaBuses.com: https://www.chinabuses.com/buses/2009/0216/article_2376.html
(7) ChinaBuses.com: https://www.chinabuses.com/buses/2009/0904/article_730.html"
"AO.006.02","Completed",2007,"Angola","Government","Eximbank","FA-sub",27,,"Libor + 1.5",5,"17","Huambo and Bié; Complementary Actions in the Agrarian Technical Schools ","Education","Sinohydro Ltd.","Oil Exports",
"AO.006.03","Signed",2007,"Angola","Government","Eximbank","FA-sub",11,,"Libor + 1.5",5,"17","Késsua Malange; Complementary Actions in the Agrarian Technical Schools","Education","China National Machinery Import and Export Corporation (CMC)","Oil Exports",
"AO.006.04","Completed",2007,"Angola","Government","Eximbank","FA-sub",34,,"Libor + 1.5",5,"17","Kwanza Sul and Kwanza Norte and  Sumbe; Complementary Actions in the Agrarian Technical Schools","Education","China-Africa Machinery Corporation (CAMACO)","Oil Exports",
"AO.006.05","Completed",2007,"Angola","Government","Eximbank","FA-sub",27,,"Libor + 1.5",5,"17","Cacuaco; Sambizanga; Viana; Cazenga; Benguela; and Lobito; Complementary Actions in the Technical Schools ","Education","China National Machinery Industry Corporation (Sinomach)","Oil Exports",
"AO.006.06","Signed",2007,"Angola","Government","Eximbank","FA-sub",9,,"Libor + 1.5",5,"17","Cacuaco; Nova Vida; Sapú; and Benguela; Complementary Actions in the Secondary Schools","Education","China National Machinery Industry Corporation (Sinomach)","Oil Exports",
"AO.006.07","Signed",2007,"Angola","Government","Eximbank","FA-sub",13,,"Libor + 1.5",5,"17","Huíla; Complementary Actions in the Secondary School and Technical School; Malange; 2 Secondary Schools","Education","Sinohydro Ltd.","Oil Exports",
"AO.006.08","Signed",2007,"Angola","Government","Eximbank","FA-sub",13,,"Libor + 1.5",5,"17","Cabinda; Complementary Actions in the Technical School","Education","Sinohydro Ltd.","Oil Exports",
